,scores0,scores1
0,1.0,1.0
1,2.0,2.0
2,3.0,3.0
3,4.0,4.0
4,5.0,5.0
5,6.0,6.0
6,7.0,7.0
7,8.0,8.0
8,8.968,8.976
9,9.86,9.805
10,10.6,10.515
11,11.171,10.932
12,11.403,11.236
13,11.675,11.313
14,11.933,11.823
15,11.928,12.028
16,12.032,12.164
17,12.25,12.272
18,12.368,12.246
19,12.6,12.418
20,12.67,12.769
21,12.948,12.868
22,13.167,12.954
23,13.441,13.134
24,13.536,13.347
25,13.809,13.224
26,13.915,13.17
27,13.884,13.184
28,13.834,13.547
29,13.832,13.532
30,13.739,13.284
31,13.794,13.319
32,14.059,13.435
33,14.367,13.726
34,14.575,13.91
35,14.906,14.215
36,14.711,14.3
37,14.772,14.123
38,14.655,14.038
39,14.427,14.112
40,14.513,13.812
41,14.293,13.967
42,14.395,13.933
43,14.36,14.008
44,14.3,14.212
45,14.406,14.399
46,14.459,14.671
47,14.789,14.733
48,14.651,14.413
49,14.52,14.071
50,14.418,14.167
51,14.397,13.888
52,14.164,14.028
53,14.216,14.089
54,14.379,14.356
55,14.485,14.416
56,14.519,14.678
57,14.545,14.962
58,14.626,14.937
59,14.543,14.953
60,14.404,15.092
61,14.674,15.42
62,14.781,15.34
63,14.864,15.183
64,14.838,15.297
65,15.129,15.357
66,15.052,15.456
67,15.263,15.279
68,14.867,15.069
69,14.832,14.975
70,15.052,14.893
71,15.03,14.829
72,14.849,14.723
73,14.615,14.658
74,14.48,14.966
75,14.461,14.88
76,14.379,14.987
77,14.307,14.713
78,14.358,14.789
79,14.637,15.07
80,14.312,14.991
81,14.652,14.727
82,14.753,14.535
83,14.825,14.563
84,15.005,14.432
85,14.83,14.526
86,14.872,14.709
87,14.801,14.858
88,14.631,14.887
89,14.899,15.062
90,14.676,15.075
91,14.827,14.895
92,14.684,14.983
93,14.696,15.025
94,14.845,15.174
95,14.694,14.928
96,14.659,14.849
97,14.704,14.785
98,14.52,14.838
99,14.218,14.609
100,14.24,14.392
101,14.347,14.242
102,14.123,14.403
103,14.119,14.222
104,14.107,14.408
105,14.22,14.395
106,14.346,14.769
107,14.393,14.809
108,14.331,14.882
109,14.439,15.028
110,14.471,14.982
111,14.549,14.902
112,14.605,15.131
113,14.632,15.138
114,14.747,15.06
115,14.763,14.702
116,14.717,14.904
117,14.766,14.784
118,14.706,14.67
119,14.693,14.296
120,14.521,14.426
121,14.513,14.554
122,14.595,14.512
123,14.841,14.263
124,14.908,14.323
125,15.093,14.558
126,14.99,14.693
127,15.042,14.702
128,15.243,14.826
129,14.867,14.606
130,14.894,14.797
131,15.261,14.724
132,15.297,14.637
133,15.398,14.605
134,14.823,14.71
135,14.528,14.995
136,14.485,15.183
137,14.589,15.108
138,14.189,14.969
139,14.147,14.869
140,14.419,14.857
141,14.461,14.837
142,14.468,15.012
143,14.601,14.681
144,14.704,14.761
145,14.625,14.817
146,14.502,14.614
147,14.717,14.697
148,14.583,14.819
149,14.682,14.764
150,14.732,14.45
151,14.797,14.335
152,14.981,14.194
153,14.898,14.308
154,14.815,14.241
155,15.009,14.626
156,14.835,14.756
157,14.585,14.9
158,14.707,15.009
159,14.82,14.806
160,14.428,14.495
161,14.412,14.47
162,14.267,14.303
163,14.324,14.307
164,14.456,14.143
165,14.581,14.266
166,14.597,14.285
167,14.701,14.525
168,14.652,14.086
169,14.932,14.441
170,15.123,14.489
171,15.255,14.306
172,15.339,14.475
173,15.395,14.843
174,15.206,14.794
175,15.321,14.868
176,15.346,14.577
177,15.369,14.333
178,15.358,14.39
179,15.184,14.244
180,14.828,14.235
181,14.649,14.074
182,14.76,14.074
183,14.891,13.964
184,14.845,14.136
185,14.76,14.19
186,14.738,14.099
187,14.445,14.139
188,14.343,14.269
189,14.52,14.325
190,14.603,14.287
191,14.72,14.075
192,14.622,13.97
193,14.785,14.344
194,14.952,14.43
195,14.922,14.363
196,14.685,14.294
197,14.443,14.574
198,14.538,14.214
199,14.269,14.086
200,14.148,14.105
201,14.209,14.419
202,14.114,14.76
203,14.277,14.862
204,14.597,14.725
205,14.435,14.753
206,14.495,14.469
207,14.614,14.358
208,14.667,14.209
209,14.889,14.416
210,14.91,14.7
211,15.072,14.757
212,14.883,14.929
213,14.583,14.952
214,14.92,14.899
215,15.039,15.181
216,15.169,15.179
217,15.083,15.173
218,14.829,15.033
219,15.041,15.097
220,14.644,15.067
221,14.742,15.057
222,14.925,15.032
223,14.734,15.072
224,14.765,14.954
225,14.81,14.783
226,14.734,14.474
227,14.68,14.414
228,14.86,14.569
229,14.483,14.554
230,14.418,14.426
231,14.479,14.378
232,14.807,14.232
233,14.663,14.262
234,14.821,14.268
235,14.599,14.679
236,14.38,14.906
237,14.424,14.754
238,14.616,15.051
239,14.509,14.865
240,14.572,14.896
241,14.24,15.026
242,14.162,15.013
243,14.265,15.158
244,14.512,15.235
245,14.495,14.978
246,14.576,15.005
247,14.423,14.723
